file_name,periodical_key,year,month,day,volume,issue
AmSn18970715-V12-28,AmSn,1897,07,15,V12,28
AmSn18941129-V09-47,AmSn,1894,11,29,V09,47
AmSn18921124-V07-46,AmSn,1892,11,24,V07,46
AmSn18900102-V05-01,AmSn,1890,01,02,V05,01
AmSn18880201-V03-02,AmSn,1888,02,01,V03,02
AmSn18930817-V08-33,AmSn,1893,08,17,V08,33
AmSn18911008-V06-39,AmSn,1891,10,08,V06,39
AmSn18940412-V09-15,AmSn,1894,04,12,V09,15
AmSn18951010-V10-40,AmSn,1895,10,10,V10,40
AmSn18940927-V09-38,AmSn,1894,09,27,V09,38
AmSn19000823-V15-33,AmSn,1900,08,23,V15,33
AmSn18971028-V12-42,AmSn,1897,10,28,V12,42
AmSn18910326-V06-13,AmSn,1891,03,26,V06,13
AmSn18960206-V11-06,AmSn,1896,02,06,V11,06
AmSn18940913-V09-36,AmSn,1894,09,13,V09,36
AmSn18911015-V06-40,AmSn,1891,10,15,V06,40
AmSn18911224-V06-50,AmSn,1891,12,24,V06,50
AmSn18940719-V09-29,AmSn,1894,07,19,V09,29
AmSn18971125-V12-46,AmSn,1897,11,25,V12,46
AmSn18980217-V13-07,AmSn,1898,02,17,V13,07
AmSn18950103-V10-01,AmSn,1895,01,03,V10,01
AmSn18950801-V10-31,AmSn,1895,08,01,V10,31
AmSn18921013-V07-40,AmSn,1892,10,13,V07,40
AmSn18921222-V07-50,AmSn,1892,12,22,V07,50
AmSn18900130-V05-05,AmSn,1890,01,30,V05,05
AmSn18911022-V06-41,AmSn,1891,10,22,V06,41
AmSn18880401-V03-04,AmSn,1888,04,01,V03,04
AmSn18870901-V02-09,AmSn,1887,09,01,V02,09
AmSn18910205-V06-06,AmSn,1891,02,05,V06,06
AmSn18930518-V08-20,AmSn,1893,05,18,V08,20
AmSn18910423-V06-17,AmSn,1891,04,23,V06,17
AmSn18891211-V04-46,AmSn,1889,12,11,V04,46
AmSn18970722-V12-29,AmSn,1897,07,22,V12,29
AmSn18950228-V10-09,AmSn,1895,02,28,V10,09
AmSn18950131-V10-05,AmSn,1895,01,31,V10,05
AmSn18881101-V03-11,AmSn,1888,11,01,V03,11
AmSn18970812-V12-32,AmSn,1897,08,12,V12,32
AmSn18920505-V07-18,AmSn,1892,05,05,V07,18
AmSn18981006-V13-39,AmSn,1898,10,06,V13,39
AmSn18891225-V04-48,AmSn,1889,12,25,V04,48
AmSn18970624-V12-25,AmSn,1897,06,24,V12,25
AmSn18970527-V12-21,AmSn,1897,05,27,V12,21
AmSn18991109-V14-44,AmSn,1899,11,09,V14,44
AmSn18950411-V10-15,AmSn,1895,04,11,V10,15
AmSn18970707-V12-27,AmSn,1897,07,07,V12,27
AmSn18970429-V12-17,AmSn,1897,04,29,V12,17
AmSn18910827-V06-34,AmSn,1891,08,27,V06,34
AmSn18891009-V04-37,AmSn,1889,10,09,V04,37
AmSn18860201-V01-02,AmSn,1886,02,01,V01,02
AmSn18970304-V12-09,AmSn,1897,03,04,V12,09
AmSn18920317-V07-11,AmSn,1892,03,17,V07,11
AmSn18930216-V08-07,AmSn,1893,02,16,V08,07
AmSn18900925-V05-38,AmSn,1890,09,25,V05,38
AmSn18981201-V13-47,AmSn,1898,12,01,V13,47
AmSn18920526-V07-21,AmSn,1892,05,26,V07,21
AmSn18920331-V07-13,AmSn,1892,03,31,V07,13
AmSn19001108-V15-44,AmSn,1900,11,08,V15,44
AmSn18920428-V07-17,AmSn,1892,04,28,V07,17
AmSn19000215-V15-07,AmSn,1900,02,15,V15,07
AmSn18940628-V09-26,AmSn,1894,06,28,V09,26
AmSn18900410-V05-15,AmSn,1890,04,10,V05,15
AmSn18891016-V04-38,AmSn,1889,10,16,V04,38
AmSn18900911-V05-36,AmSn,1890,09,11,V05,36
AmSn18960312-V11-11,AmSn,1896,03,12,V11,11
AmSn18960514-V11-20,AmSn,1896,05,14,V11,20
AmSn18940830-V09-34,AmSn,1894,08,30,V09,34
AmSn18991005-V14-39,AmSn,1899,10,05,V14,39
AmSn18950314-V10-11,AmSn,1895,03,14,V10,11
AmSn18900529-V05-22,AmSn,1890,05,29,V05,22
AmSn18860401-V01-04,AmSn,1886,04,01,V01,04
AmSn18911210-V06-48,AmSn,1891,12,10,V06,48
AmSn19001004-V15-39,AmSn,1900,10,04,V15,39
AmSn18940802-V09-31,AmSn,1894,08,02,V09,31
AmSn18940111-V09-02,AmSn,1894,01,11,V09,02
AmSn18890814-V04-29,AmSn,1889,08,14,V04,29
AmSn18890724-V04-26,AmSn,1889,07,24,V04,26
AmSn18861101-V01-11,AmSn,1886,11,01,V01,11
AmSn18980519-V13-20,AmSn,1898,05,19,V13,20
AmSn18930330-V08-13,AmSn,1893,03,30,V08,13
AmSn19000201-V15-05,AmSn,1900,02,01,V15,05
AmSn18890925-V04-35,AmSn,1889,09,25,V04,35
AmSn18930316-V08-11,AmSn,1893,03,16,V08,11
AmSn19000315-V15-11,AmSn,1900,03,15,V15,11
AmSn18930202-V08-05,AmSn,1893,02,02,V08,05
AmSn18890828-V04-31,AmSn,1889,08,28,V04,31
AmSn18981124-V13-46,AmSn,1898,11,24,V13,46
AmSn18990525-V14-21,AmSn,1899,05,25,V14,21
AmSn18890101-V04-01,AmSn,1889,01,01,V04,01
AmSn18910910-V06-36,AmSn,1891,09,10,V06,36
AmSn18910924-V06-38,AmSn,1891,09,24,V06,38
AmSn18960123-V11-04,AmSn,1896,01,23,V11,04
AmSn18901211-V05-49,AmSn,1890,12,11,V05,49
AmSn18990608-V14-23,AmSn,1899,06,08,V14,23
AmSn18880301-V03-03,AmSn,1888,03,01,V03,03
AmSn18930413-V08-15,AmSn,1893,04,13,V08,15
AmSn18891120-V04-43,AmSn,1889,11,20,V04,43
