file_name,periodical_key,year,month,day,volume,issue
LibM19090401-V04-02,LibM,1909,04,01,V04,02
LibM19091001-V04-04,LibM,1909,10,01,V04,04
LibM19100701-V05-03,LibM,1910,07,01,V05,03
LibM19200701-V14-03,LibM,1920,07,01,V14,03
LibM19080101-V03-01,LibM,1908,01,01,V03,01
LibM19190701-V15-03,LibM,1919,07,01,V15,03
LibM19131001-V08-04,LibM,1913,10,01,V08,04
LibM19130401-V08-02,LibM,1913,04,01,V08,02
LibM19060701-V01-02,LibM,1906,07,01,V01,02
LibM19171001-V12-04,LibM,1917,10,01,V12,04
LibM19170401-V12-02,LibM,1917,04,01,V12,02
LibM19190101-V15-01,LibM,1919,01,01,V15,01
LibM19080701-V03-03,LibM,1908,07,01,V03,03
LibM19200101-V14-01,LibM,1920,01,01,V14,01
LibM19100101-V05-01,LibM,1910,01,01,V05,01
LibM19160401-V11-02e,LibM,1916,04,01,V11,02e
LibM19160101-V11-01,LibM,1916,01,01,V11,01
LibM19120701-V07-03,LibM,1912,07,01,V07,03
LibM19140701-V09-03,LibM,1914,07,01,V09,03
LibM19160101-V11-01e,LibM,1916,01,01,V11,01e
LibM19180101-V13-01,LibM,1918,01,01,V13,01
LibM19110401-V06-02,LibM,1911,04,01,V06,02
LibM19111001-V06-04,LibM,1911,10,01,V06,04
LibM19140101-V09-01,LibM,1914,01,01,V09,01
LibM19150401-V10-02,LibM,1915,04,01,V10,02
LibM19151001-V10-04,LibM,1915,10,01,V10,04
LibM19180701-V13-03,LibM,1918,07,01,V13,03
LibM19070401-V02-02,LibM,1907,04,01,V02,02
LibM19071001-V02-04,LibM,1907,10,01,V02,04
LibM19120101-V07-01,LibM,1912,01,01,V07,01
LibM19160701-V11-03,LibM,1916,07,01,V11,03
LibM19070101-V02-01,LibM,1907,01,01,V02,01
LibM19120401-V07-02,LibM,1912,04,01,V07,02
LibM19121001-V07-04,LibM,1912,10,01,V07,04
LibM19140401-V09-02,LibM,1914,04,01,V09,02
LibM19141001-V09-04,LibM,1914,10,01,V09,04
LibM19110701-V06-03,LibM,1911,07,01,V06,03
LibM19150101-V10-01,LibM,1915,01,01,V10,01
LibM19150701-V10-03,LibM,1915,07,01,V10,03
LibM19110101-V06-01,LibM,1911,01,01,V06,01
LibM19180401-V13-02,LibM,1918,04,01,V13,02
LibM19181001-V13-04,LibM,1918,10,01,V13,04
LibM19160401-V11-02,LibM,1916,04,01,V11,02
LibM19161001-V11-04,LibM,1916,10,01,V11,04
LibM19070701-V02-03,LibM,1907,07,01,V02,03
LibM19090701-V04-03,LibM,1909,07,01,V04,03
LibM19061001-V01-03,LibM,1906,10,01,V01,03
LibM19101001-V05-04,LibM,1910,10,01,V05,04
LibM19100401-V05-02,LibM,1910,04,01,V05,02
LibM19191001-V15-04,LibM,1919,10,01,V15,04
LibM19190401-V15-02,LibM,1919,04,01,V15,02
LibM19201001-V14-04,LibM,1920,10,01,V14,04
LibM19200401-V14-02,LibM,1920,04,01,V14,02
LibM19130701-V08-03,LibM,1913,07,01,V08,03
LibM19170101-V12-01,LibM,1917,01,01,V12,01
LibM19170701-V12-03,LibM,1917,07,01,V12,03
LibM19130101-V08-01,LibM,1913,01,01,V08,01
LibM19090101-V04-01,LibM,1909,01,01,V04,01
LibM19081001-V03-04,LibM,1908,10,01,V03,04
LibM19080401-V03-02,LibM,1908,04,01,V03,02
LibM19060401-V01-01,LibM,1906,04,01,V01,01
