file_name,periodical_key,year,month,day,volume,issue
SOL19031001-V18-40,SOL,1903,10,01,V18,40
SOL19040107-V19-01,SOL,1904,01,07,V19,01
SOL19040121-V19-03,SOL,1904,01,21,V19,03
SOL19021101-V17-12,SOL,1902,11,01,V17,12
SOL19030924-V18-39,SOL,1903,09,24,V18,39
SOL19030319-V18-12,SOL,1903,03,19,V18,12
SOL19030528-V18-22,SOL,1903,05,28,V18,22
SOL19030910-V18-37,SOL,1903,09,10,V18,37
SOL19030723-V18-30,SOL,1903,07,23,V18,30
SOL19020301-V17-04,SOL,1902,03,01,V17,04
SOL19030611-V18-24,SOL,1903,06,11,V18,24
SOL19030305-V18-10,SOL,1903,03,05,V18,10
SOL19000816-V15-32,SOL,1900,08,16,V15,32
SOL19000726-V15-29,SOL,1900,07,26,V15,29
SOL19020201-V17-03,SOL,1902,02,01,V17,03
SOL19040204-V19-05,SOL,1904,02,04,V19,05
SOL19020401-V17-05,SOL,1902,04,01,V17,05
SOL19000802-V15-30,SOL,1900,08,02,V15,30
SOL19030423-V18-17,SOL,1903,04,23,V18,17
SOL19031224-V18-51,SOL,1903,12,24,V18,51
SOL19020501-V17-06,SOL,1902,05,01,V17,06
SOL19031015-V18-41,SOL,1903,10,15,V18,41
SOL19030205-V18-06,SOL,1903,02,05,V18,06
SOL19030326-V18-13,SOL,1903,03,26,V18,13
SOL19020701-V17-08,SOL,1902,07,01,V17,08
SOL19030827-V18-35,SOL,1903,08,27,V18,35
SOL19000913-V15-36,SOL,1900,09,13,V15,36
SOL19031022-V18-42,SOL,1903,10,22,V18,42
SOL19000927-V15-38,SOL,1900,09,27,V15,38
SOL19000628-V15-25,SOL,1900,06,28,V15,25
SOL19031210-V18-49,SOL,1903,12,10,V18,49
SOL19021001-V17-11,SOL,1902,10,01,V17,11
SOL19030820-V18-34,SOL,1903,08,20,V18,34
SOL19001108-V15-44,SOL,1900,11,08,V15,44
SOL19040114-V19-02,SOL,1904,01,14,V19,02
SOL19000510-V15-17,SOL,1900,05,10,V15,17
SOL19031112-V18-45,SOL,1903,11,12,V18,45
SOL19030122-V18-04,SOL,1903,01,22,V18,04
SOL19030709-V18-28,SOL,1903,07,09,V18,28
SOL19000823-V15-33,SOL,1900,08,23,V15,33
SOL19030402-V18-14,SOL,1903,04,02,V18,14
SOL19030101-V18-01,SOL,1903,01,01,V18,01
SOL19030730-V18-31,SOL,1903,07,30,V18,31
SOL19030903-V18-36,SOL,1903,09,03,V18,36
SOL19030115-V18-03,SOL,1903,01,15,V18,03
SOL19031203-V18-48,SOL,1903,12,03,V18,48
SOL19030416-V18-16,SOL,1903,04,16,V18,16
SOL19020901-V17-10,SOL,1902,09,01,V17,10
SOL19030702-V18-27,SOL,1903,07,02,V18,27
SOL19030806-V18-32,SOL,1903,08,06,V18,32
SOL19040211-V19-06,SOL,1904,02,11,V19,06
SOL19031105-V18-44,SOL,1903,11,05,V18,44
SOL19030129-V18-05,SOL,1903,01,29,V18,05
SOL19030521-V18-21,SOL,1903,05,21,V18,21
SOL19030409-V18-15,SOL,1903,04,09,V18,15
SOL19031119-V18-46,SOL,1903,11,19,V18,46
SOL19030430-V18-18,SOL,1903,04,30,V18,18
SOL19030618-V18-25,SOL,1903,06,18,V18,25
SOL19030917-V18-38,SOL,1903,09,17,V18,38
SOL19011201-V17-01,SOL,1901,12,01,V17,01
SOL19040128-V19-04,SOL,1904,01,28,V19,04
SOL19030604-V18-23,SOL,1903,06,04,V18,23
SOL19030507-V18-19,SOL,1903,05,07,V18,19
SOL19031231-V18-52,SOL,1903,12,31,V18,52
SOL19030716-V18-29,SOL,1903,07,16,V18,29
SOL19031217-V18-50,SOL,1903,12,17,V18,50
SOL19020801-V17-09,SOL,1902,08,01,V17,09
SOL19031126-V18-47,SOL,1903,11,26,V18,47
SOL19030219-V18-08,SOL,1903,02,19,V18,08
SOL19030108-V18-02,SOL,1903,01,08,V18,02
SOL19021201-V17-13,SOL,1902,12,01,V17,13
SOL19020101-V17-02,SOL,1902,01,01,V17,02
SOL19030514-V18-20,SOL,1903,05,14,V18,20
SOL19000517-V15-18,SOL,1900,05,17,V15,18
SOL19000614-V15-23,SOL,1900,06,14,V15,23
SOL19030312-V18-11,SOL,1903,03,12,V18,11
SOL19000809-V15-31,SOL,1900,08,09,V15,31
SOL19030625-V18-26,SOL,1903,06,25,V18,26
SOL19020601-V17-07,SOL,1902,06,01,V17,07
SOL19001101-V15-43,SOL,1900,11,01,V15,43
SOL19030226-V18-09,SOL,1903,02,26,V18,09
SOL19030212-V18-07,SOL,1903,02,12,V18,07
SOL19001005-V15-39,SOL,1900,10,05,V15,39
SOL19031029-V18-43,SOL,1903,10,29,V18,43
SOL19000531-V15-21,SOL,1900,05,31,V15,21
SOL19030813-V18-33,SOL,1903,08,13,V18,33
